FECHA,variable,value,Year,Month,Day,DayOfWeek,Hour
2014-01-11,QH0889,36.62,2014,1,11,5,0
2014-01-12,QH0889,56.66,2014,1,12,6,0
2015-01-01,QH0889,115.94,2015,1,1,3,0
2015-01-02,QH0889,104.32,2015,1,2,4,0
2015-01-03,QH0889,122.0,2015,1,3,5,0
2015-01-04,QH0889,203.69,2015,1,4,6,0
2015-01-05,QH0889,150.57,2015,1,5,0,0
2015-01-06,QH0889,139.3,2015,1,6,1,0
2015-01-07,QH0889,139.3,2015,1,7,2,0
2015-01-08,QH0889,139.3,2015,1,8,3,0
2015-01-09,QH0889,139.3,2015,1,9,4,0
2015-01-10,QH0889,139.3,2015,1,10,5,0
2015-01-11,QH0889,139.3,2015,1,11,6,0
2015-01-12,QH0889,139.3,2015,1,12,0,0
2016-01-01,QH0889,59.85,2016,1,1,4,0
2016-01-02,QH0889,66.0,2016,1,2,5,0
2016-01-03,QH0889,77.25,2016,1,3,6,0
2016-01-04,QH0889,118.2,2016,1,4,0,0
2016-01-05,QH0889,109.59,2016,1,5,1,0
2016-01-06,QH0889,141.1,2016,1,6,2,0
2016-01-07,QH0889,91.64,2016,1,7,3,0
2016-01-08,QH0889,73.86,2016,1,8,4,0
2016-01-09,QH0889,71.26,2016,1,9,5,0
2016-01-10,QH0889,51.48,2016,1,10,6,0
2016-01-11,QH0889,46.91,2016,1,11,0,0
2016-01-12,QH0889,47.13,2016,1,12,1,0
2017-01-01,QH0889,7.38,2017,1,1,6,0
2017-01-02,QH0889,7.38,2017,1,2,0,0
2017-01-03,QH0889,7.38,2017,1,3,1,0
2017-01-04,QH0889,7.38,2017,1,4,2,0
2017-01-05,QH0889,7.38,2017,1,5,3,0
2017-01-06,QH0889,7.38,2017,1,6,4,0
2017-01-07,QH0889,53.25,2017,1,7,5,0
2017-01-08,QH0889,53.25,2017,1,8,6,0
2017-01-09,QH0889,53.25,2017,1,9,0,0
2017-01-10,QH0889,53.25,2017,1,10,1,0
2017-01-11,QH0889,53.25,2017,1,11,2,0
2017-01-12,QH0889,53.25,2017,1,12,3,0
2018-01-01,QH0889,7.38,2018,1,1,0,0
2018-01-02,QH0889,7.38,2018,1,2,1,0
2018-01-03,QH0889,7.38,2018,1,3,2,0
2018-01-04,QH0889,7.38,2018,1,4,3,0
2018-01-05,QH0889,7.38,2018,1,5,4,0
2018-01-06,QH0889,61.78,2018,1,6,5,0
2018-01-07,QH0889,61.78,2018,1,7,6,0
2018-01-08,QH0889,61.78,2018,1,8,0,0
2018-01-09,QH0889,61.78,2018,1,9,1,0
2018-01-10,QH0889,61.78,2018,1,10,2,0
2018-01-11,QH0889,61.78,2018,1,11,3,0
2018-01-12,QH0889,61.78,2018,1,12,4,0
1980-01-01,QH0894,15.78,1980,1,1,1,0
1980-01-02,QH0894,30.41,1980,1,2,2,0
1980-01-03,QH0894,37.04,1980,1,3,3,0
1980-01-04,QH0894,85.36,1980,1,4,4,0
1980-01-05,QH0894,46.1,1980,1,5,5,0
1980-01-06,QH0894,63.71,1980,1,6,6,0
1980-01-07,QH0894,80.77,1980,1,7,0,0
1980-01-08,QH0894,39.99,1980,1,8,1,0
1980-01-09,QH0894,38.7,1980,1,9,2,0
1980-01-10,QH0894,68.73,1980,1,10,3,0
1980-01-11,QH0894,46.31,1980,1,11,4,0
1980-01-12,QH0894,39.16,1980,1,12,5,0
1981-01-01,QH0894,27.34,1981,1,1,3,0
1981-01-02,QH0894,52.75,1981,1,2,4,0
1981-01-03,QH0894,61.74,1981,1,3,5,0
1981-01-04,QH0894,57.94,1981,1,4,6,0
1981-01-05,QH0894,51.65,1981,1,5,0,0
1981-01-06,QH0894,48.13,1981,1,6,1,0
1981-01-07,QH0894,44.2,1981,1,7,2,0
1981-01-08,QH0894,33.33,1981,1,8,3,0
1981-01-09,QH0894,33.0,1981,1,9,4,0
1981-01-10,QH0894,32.43,1981,1,10,5,0
1981-01-11,QH0894,30.14,1981,1,11,6,0
1981-01-12,QH0894,54.71,1981,1,12,0,0
1982-01-01,QH0894,43.51,1982,1,1,4,0
1982-01-02,QH0894,28.1,1982,1,2,5,0
1982-01-03,QH0894,43.97,1982,1,3,6,0
1982-01-04,QH0894,60.27,1982,1,4,0,0
1982-01-05,QH0894,60.81,1982,1,5,1,0
1982-01-06,QH0894,38.0,1982,1,6,2,0
1982-01-07,QH0894,51.09,1982,1,7,3,0
1982-01-08,QH0894,37.99,1982,1,8,4,0
1982-01-09,QH0894,42.98,1982,1,9,5,0
1982-01-10,QH0894,45.24,1982,1,10,6,0
1982-01-11,QH0894,33.81,1982,1,11,0,0
1982-01-12,QH0894,54.72,1982,1,12,1,0
1983-01-01,QH0894,64.75,1983,1,1,5,0
1983-01-02,QH0894,64.13,1983,1,2,6,0
1983-01-03,QH0894,68.54,1983,1,3,0,0
1983-01-04,QH0894,96.25,1983,1,4,1,0
1983-01-05,QH0894,83.37,1983,1,5,2,0
1983-01-06,QH0894,37.67,1983,1,6,3,0
1983-01-07,QH0894,29.4,1983,1,7,4,0
1983-01-08,QH0894,38.49,1983,1,8,5,0
1983-01-09,QH0894,36.0,1983,1,9,6,0
