"PRECIPITATION.mm.","X","Y","PL3"
2.6,-0.393201668055862,1.37487906676845,"M"
0,0.343794801659351,1.73629062496807,"M"
0.2,-0.987433771098916,1.30941763684982,"M"
13.5,0.298763135011208,1.54131132129699,"M"
3.7,-0.899526073265921,1.08579594929931,"M"
0.7,-0.662645643491606,1.90821926181495,"M"
23.6,-1.19490825712628,-0.110427610005056,"M"
6,-0.631770190240447,0.78801423002605,"M"
14,1.00215706317903,1.15610605946011,"M"
8.6,1.45373670670703,0.277578074733231,"M"
0.1,-0.292402630105995,1.86724414630415,"M"
0.1,0.00910359005045004,1.6299745779147,"M"
0.1,-1.38854251379092,0.451164811787423,"M"
0.1,1.23578657423704,1.15279293150829,"M"
0,0.787371857340348,1.35828773029444,"M"
0,-0.241926985006144,1.16514863168861,"M"
1.7,-1.28696011288589,-0.525198693677669,"M"
0,1.13243834053257,1.20003475153507,"M"
12.1,-1.87554810611434,0.23327944969693,"M"
0,-1.7862931727539,0.730791831490196,"M"
0.5,-0.126586396409251,1.64513704117442,"M"
0,-2.1889785639324,-0.0668793439295121,"L"
17.5,-1.63139932516107,0.605091928440624,"M"
2.5,-0.881348525342903,1.28717705731414,"M"
3.5,0.868143810263091,1.61097061571646,"M"
0.6,-0.86977174998849,1.07139960001951,"M"
2.5,-0.727657386492292,1.12521763578572,"M"
1.3,-1.93341085615237,-0.377918590852801,"M"
0,-1.23594821678527,1.46929643211481,"M"
0,1.67502824007628,0.785353675070644,"M"
0.5,0.587629295703008,1.73308736387742,"M"
0,-0.450519970018221,1.52483827228162,"M"
0,1.18074200217462,1.16681117765501,"M"
0,-0.180397421323969,1.80098772077426,"M"
0,0.0528804740402118,1.4490354224329,"M"
0.1,0.0643434062338932,1.78884318096199,"M"
5.8,-1.29574107757328,0.672796447589629,"M"
0,1.31824255371213,1.04145886600601,"M"
0.3,-0.0359366407726655,1.55958602130501,"M"
0,-1.17459136688695,1.41631039000448,"M"
0,0.424057690518193,1.61526315970878,"M"
0.9,-1.57563105371247,0.417476685069875,"M"
0.1,-2.32299283194686,-0.41629833379862,"M"
0.4,1.30134086263722,1.24358833993835,"M"
2.7,1.37574274254492,1.11365699671622,"M"
0,-2.57990646594237,0.228435170209686,"L"
0,-2.31201532342668,0.360811785062858,"L"
0,-2.41972821216549,0.22319359141876,"L"
0,-1.49914642191646,1.52714112172224,"L"
0,-0.971348970781634,1.95163551334809,"L"
0.1,-2.0030611995175,1.22892059588385,"L"
0,0.551231969459329,1.6924961789753,"M"
0,0.172557897746795,1.57054887600648,"M"
0,-0.821817644325527,1.70037846591143,"M"
0.9,-0.821817644325527,1.70037846591143,"M"
4,0.874700659795835,1.72040656699303,"M"
0,1.54464626598839,1.01811979303426,"M"
0,0.291098976623478,1.86744782679698,"M"
0,-2.27637429147124,0.583626665882238,"M"
0,-1.82289132028076,1.12101170129712,"M"
1.2,-1.36720490020703,0.868994108639347,"M"
15.9,0.447465287671333,-1.67112980235804,"M"
0,-1.37611647942786,0.835705351811906,"M"
0,-1.24573333730722,1.47412633526486,"M"
0.4,-1.85516013492927,0.66278267461454,"M"
6.7,-1.15712414368669,1.01620062787687,"M"
0.9,-0.272883694078731,1.52578979204409,"M"
0.5,-1.06046638953456,1.22466772500443,"M"
0.1,-0.0611161224385882,1.75893854911935,"M"
1.3,-1.26967958818697,1.13044847000709,"M"
0.4,-1.60076665102755,0.731536826795505,"M"
0,-2.01839895695763,0.459309972189107,"M"
0.1,-0.201364298244834,1.58727830558865,"M"
1.9,0.252692069525725,1.59004613706609,"M"
0.5,-0.80565263485426,1.10807212398489,"M"
0.2,-1.09113980631292,0.861112027020529,"M"
0,-1.06799481396098,1.43648427675087,"M"
8,-1.02410485587598,0.663030349359091,"M"
22.8,-1.29445989641309,0.417101398437127,"M"
0,1.3017409974188,0.80397162614057,"M"
0.2,-1.46973503490009,0.632359808326907,"M"
