Fecha_Hora,Centro_Alto_Rendimiento,Kennedy,Las_Ferias,MinAmbiente,Puente_Aranda,San_Cristobal,Suba,Tunal,Usaquen
17/09/2014 15:00,Sin Data,0,0,0,0.1,0,0,0,0
17/09/2014 16:00,Sin Data,0.6,0,0,0.1,0.3,0,0,0
17/09/2014 17:00,Sin Data,0,0,0,0,0,0,0,0
17/09/2014 18:00,Sin Data,0,0,0,0,0,0,0,0
17/09/2014 19:00,Sin Data,0,0,0,0,0,0,0,0
17/09/2014 20:00,Sin Data,0,0,0,0,0,0,0,0
17/09/2014 21:00,Sin Data,0,0,0,0,0,0,0,0
17/09/2014 22:00,Sin Data,0,0.3,0.2,0.1,0.2,0.2,0,0.7
17/09/2014 23:00,Sin Data,0.3,0.7,0.6,0.2,0.6,1.5,0.5,0.8
18/09/2014 00:00,Sin Data,0.1,0.1,0,0.1,0.2,0.1,0.2,0.1
18/09/2014 01:00,Sin Data,0,0,0.1,0,0,0.1,0,0
18/09/2014 02:00,Sin Data,0,0,0,0,0,0,0,0
18/09/2014 03:00,Sin Data,0,0,0,0,0,0,0,0
18/09/2014 04:00,Sin Data,0,0,0,0,0,0,0.1,0
