"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
0,103.81,1.42,20.69,"UH","M",-0.33895818736882,1.37895153911065
1.7,128.64,1.52,16.16,"UH","M",-0.949126074245944,1.18724879245526
0.1,38.87,1.75,12.67,"H","M",1.36250072440863,1.09822209774979
4.2,353.33,1.27,19.23,"UH","M",1.26140413460236,-0.147511386706461
0.1,58.47,1.78,19.58,"UH","M",0.930841983265214,1.51721231282602
0,99.69,1.68,23.21,"UH","M",-0.282773130006859,1.65603120651337
0,107.61,1.89,18.91,"UH","M",-0.571793511176558,1.80143059277242
23.2,138.4,1.45,16.16,"UH","M",-1.08430723122287,0.96269300834575
20.5,93.19,1.37,13.86,"H","M",-0.0762367233985795,1.36787717358155
19.2,116.61,1.23,14.88,"H","M",-0.550935622658484,1.09971357165669
2.3,105.48,1.7,13.28,"H","M",-0.453733381844639,1.63833025309302
0.6,119.58,1.66,16.55,"UH","M",-0.819439620347845,1.44364770931283
12.8,135.09,1.62,14.58,"H","M",-1.14731093915249,1.1437122054525
2.4,129.38,1.52,20.06,"UH","M",-0.964380324246396,1.17489173552563
9.9,83.78,1.58,18.94,"UH","M",0.171187269768089,1.57069886314002
1.3,147.11,1.7,15.21,"UH","M",-1.42751491107144,0.923147430624549
40,110.33,1.32,19.6,"UH","M",-0.458603219568699,1.23777343928573
5.4,121.37,1.52,14.81,"H","M",-0.791255216280436,1.29781169000322
1,64.92,1.67,16.32,"UH","M",0.707885100587853,1.51254708500784
0,76.1,1.45,18.84,"UH","M",0.348330661592033,1.40753889828838
0,191.26,2.66,11.42,"H","M",-2.60879823397642,-0.519395585658468
0,170.06,2.35,10.95,"H","M",-2.3147242838188,0.405649466780795
9.1,125.14,1.69,16.96,"UH","M",-0.972723926931802,1.38199426987755
0.3,130.73,1.68,17.56,"UH","M",-1.09619205802544,1.27309189453156
2.8,142.58,1.59,20.05,"UH","M",-1.26278206718377,0.966168438109571
10.2,152.87,1.23,21.05,"UH","M",-1.09466821660065,0.560893479694997
6.8,127.88,1.59,18.32,"UH","M",-0.976275455393123,1.25498455576033
10.8,98.19,1.4,17.06,"UH","M",-0.199438656190413,1.38572155298854
0,44.92,1.21,26.34,"UH","H",0.856793012687042,0.854403729749971
14.9,127.01,1.43,23.55,"UH","M",-0.860794795112981,1.14189855972691
10.3,141.4,1.14,15.71,"UH","M",-0.890933338557453,0.7112227402487
9.6,130.76,1.04,18.81,"UH","M",-0.679007641054813,0.787749086568292
3.2,125.66,1.48,17.6,"UH","M",-0.862801709355497,1.20248626201435
0,14.93,1.69,15.45,"UH","M",1.6329478180288,0.435409489555495
0,130.26,1.63,14.8,"H","M",-1.05339920176481,1.24388509184782
0,254.19,2.43,8.98,"H","L",-0.662049081321406,-2.33807421052487
0.2,72.27,2.13,17.43,"UH","M",0.648652801332811,2.02882959938066
0,126.72,1.68,15.47,"UH","M",-1.00448037153663,1.34663253458307
0.2,156.54,1.87,16.06,"UH","M",-1.71542249056043,0.744463349587768
5.4,167.32,1.4,21.44,"UH","M",-1.36585571543906,0.307307931239093
0,136.45,1.89,17.7,"UH","M",-1.36982171125443,1.30218603869646
11.2,132.1,1.61,17.93,"UH","M",-1.07938685652367,1.19458110397074
2.6,105.96,1.43,19.02,"UH","M",-0.393201668055862,1.37487906676845
0,78.8,1.77,15.91,"UH","M",0.343794801659351,1.73629062496807
0.2,127.02,1.64,17.42,"UH","M",-0.987433771098916,1.30941763684982
13.5,79.03,1.57,14.33,"H","M",0.298763135011208,1.54131132129699
