Date,Time,PM2.5,lat,lon
2013-05-09,8:25:37,0,4.669277379,-74.05052807
2013-05-09,8:25:38,13,4.669246031,-74.05054886
2013-05-09,8:25:39,11,4.669212252,-74.0505699
2013-05-09,8:25:40,0,4.66917864,-74.05061005
2013-05-09,8:25:41,33,4.669152573,-74.05064307
2013-05-09,8:25:42,51,4.669131869,-74.05068406
2013-05-09,8:25:43,41,4.669107981,-74.05070736
2013-05-09,8:25:44,30,4.669070849,-74.05073938
2013-05-09,8:25:45,43,4.66904629,-74.0507481
2013-05-09,8:25:46,45,4.66902324,-74.05075958
2013-05-09,8:25:47,18,4.669005387,-74.05077299
2013-05-09,8:25:48,16,4.668974625,-74.05079034
2013-05-09,8:25:49,32,4.668935733,-74.05081599
2013-05-09,8:25:50,104,4.668896422,-74.05083803
2013-05-09,8:25:51,193,4.66885535,-74.05086377
2013-05-09,8:25:52,192,4.668818554,-74.05088548
2013-05-09,8:25:53,168,4.668782763,-74.05090936
2013-05-09,8:25:54,265,4.668751163,-74.05093694
2013-05-09,8:25:55,299,4.668713696,-74.05096175
2013-05-09,8:25:56,244,4.668672541,-74.05098354
2013-05-09,8:25:57,315,4.668632895,-74.05100785
2013-05-09,8:25:58,207,4.668593919,-74.05103308
2013-05-09,8:25:59,190,4.668555949,-74.05105856
2013-05-09,8:26:00,88,4.668515045,-74.05109444
2013-05-09,8:26:05,62,4.668321339,-74.05122695
2013-05-09,8:26:06,126,4.668299379,-74.05123785
2013-05-09,8:26:07,137,4.668258056,-74.05127917
2013-05-09,8:26:08,6,4.668213129,-74.05132318
2013-05-09,8:26:09,0,4.668172477,-74.05134983
2013-05-09,8:26:10,7,4.66813392,-74.05137733
2013-05-09,8:26:11,47,4.668100057,-74.05138923
2013-05-09,8:26:12,78,4.668069882,-74.05141295
2013-05-09,8:26:13,101,4.66804943,-74.05145033
2013-05-09,8:26:14,102,4.668034427,-74.05148068
2013-05-09,8:26:19,52,4.667938622,-74.0515562
2013-05-09,8:26:24,99,4.667845499,-74.05156944
2013-05-09,8:26:29,153,4.667666126,-74.05165376
2013-05-09,8:26:34,16,4.667465882,-74.05177463
2013-05-09,8:26:35,0,4.667425901,-74.05179885
2013-05-09,8:26:36,0,4.667420117,-74.05190706
2013-05-09,8:26:37,0,4.667401593,-74.05191016
2013-05-09,8:26:38,0,4.667412825,-74.05191503
2013-05-09,8:26:39,0,4.667363623,-74.05193238
2013-05-09,8:26:40,0,4.667335544,-74.05195777
2013-05-09,8:26:41,0,4.667293718,-74.05198233
2013-05-09,8:26:42,0,4.66725952,-74.05200379
2013-05-09,8:26:43,0,4.667224735,-74.05203044
2013-05-09,8:26:44,18,4.667185089,-74.05205006
2013-05-09,8:26:45,49,4.667144017,-74.05208224
2013-05-09,8:26:46,57,4.667104371,-74.05211083
2013-05-09,8:26:47,64,4.667063886,-74.05213798
2013-05-09,8:26:48,51,4.667027174,-74.05216824
2013-05-09,8:26:49,20,4.666996496,-74.05219817
2013-05-09,8:26:50,5,4.666970596,-74.05221133
2013-05-09,8:26:51,0,4.666940924,-74.05223345
2013-05-09,8:26:52,0,4.666902283,-74.05226145
2013-05-09,8:26:53,0,4.666883089,-74.0522695
2013-05-09,8:26:54,0,4.666863559,-74.05228282
2013-05-09,8:26:55,0,4.666837323,-74.05230319
2013-05-09,8:26:56,26,4.666823158,-74.05230789
2013-05-09,8:26:57,56,4.666806059,-74.05232155
2013-05-09,8:26:58,20,4.666781081,-74.05233689
2013-05-09,8:26:59,13,4.666750655,-74.05235482
2013-05-09,8:27:00,0,4.666719977,-74.05237377
2013-05-09,8:27:01,0,4.666689718,-74.05239212
2013-05-09,8:27:06,0,4.666536245,-74.05249497
2013-05-09,8:27:11,0,4.666386126,-74.05261416
2013-05-09,8:27:12,0,4.66636274,-74.05261517
2013-05-09,8:27:13,0,4.6663443,-74.05261399
2013-05-09,8:27:14,0,4.666312868,-74.05262816
2013-05-09,8:27:15,0,4.666288476,-74.05265238
2013-05-09,8:27:16,0,4.666260146,-74.0526637
2013-05-09,8:27:17,0,4.666236257,-74.05267786
2013-05-09,8:27:18,0,4.666209184,-74.0527015
2013-05-09,8:27:19,0,4.666178925,-74.05271944
2013-05-09,8:27:20,0,4.666153528,-74.05274685
2013-05-09,8:27:21,0,4.666126454,-74.05277819
2013-05-09,8:27:22,0,4.666104661,-74.05279865
2013-05-09,8:27:23,0,4.666074151,-74.05281097
2013-05-09,8:27:24,0,4.666052358,-74.05282052
2013-05-09,8:27:25,0,4.666030398,-74.05284315
2013-05-09,8:27:26,0,4.666007347,-74.05286285
2013-05-09,8:27:27,0,4.665993433,-74.05287802
2013-05-09,8:27:28,0,4.66598656,-74.05289009
2013-05-09,8:27:29,0,4.665982369,-74.05289755
2013-05-09,8:27:30,0,4.66597273,-74.05290417
2013-05-09,8:27:31,0,4.665966695,-74.05291365
2013-05-09,8:27:32,0,4.665964181,-74.05291457
2013-05-09,8:27:33,0,4.665961498,-74.05291658
2013-05-09,8:27:34,0,4.665955463,-74.05291415
2013-05-09,8:27:35,0,4.665946495,-74.05291239
2013-05-09,8:27:36,0,4.665939538,-74.05291758
2013-05-09,8:27:37,0,4.665936856,-74.05292102
2013-05-09,8:27:38,0,4.665932665,-74.05291809
2013-05-09,8:27:39,0,4.665928222,-74.05291809
2013-05-09,8:27:40,0,4.665923025,-74.05291943
2013-05-09,8:27:41,0,4.665911542,-74.05292429
2013-05-09,8:27:42,23,4.665902238,-74.05292706
2013-05-09,8:27:43,28,4.665888743,-74.0529315
2013-05-09,8:27:44,11,4.665883631,-74.05293485
2013-05-09,8:27:45,5,4.665880781,-74.05293745
2013-05-09,8:27:46,6,4.665877344,-74.05294038
2013-05-09,8:27:47,5,4.665874746,-74.0529424
2013-05-09,8:27:48,0,4.665870471,-74.05294734
2013-05-09,8:27:49,0,4.665860161,-74.05295488
2013-05-09,8:27:50,7,4.665853288,-74.05296109
2013-05-09,8:27:51,10,4.6658496,-74.05296486
2013-05-09,8:27:52,9,4.665845996,-74.05296352
2013-05-09,8:27:53,9,4.665844655,-74.05296687
2013-05-09,8:27:54,6,4.665842224,-74.05297718
2013-05-09,8:27:55,0,4.665835435,-74.05299244
2013-05-09,8:27:56,0,4.665829651,-74.05300274
2013-05-09,8:27:57,0,4.665818168,-74.05301197
2013-05-09,8:27:58,0,4.665804254,-74.05301498
2013-05-09,8:27:59,0,4.665789083,-74.05302119
2013-05-09,8:28:00,0,4.665765865,-74.05303183
2013-05-09,8:28:01,0,4.665745078,-74.05304214
2013-05-09,8:28:06,0,4.665628821,-74.05309184
2013-05-09,8:28:11,0,4.665487753,-74.05316887
2013-05-09,8:28:16,10,4.665336041,-74.05325898
2013-05-09,8:28:21,25,4.665202852,-74.05335504
2013-05-09,8:28:26,42,4.665073771,-74.05346752
2013-05-09,8:28:31,0,4.664917532,-74.05355117
2013-05-09,8:28:36,0,4.66476012,-74.05364052
2013-05-09,8:28:41,27,4.664601199,-74.05372962
2013-05-09,8:28:46,179,4.664473878,-74.0538313
2013-05-09,8:28:51,24,4.664423335,-74.05390958
2013-05-09,8:28:56,60,4.664352592,-74.05399893
2013-05-09,8:29:01,42,4.664237341,-74.05411636
2013-05-09,8:29:06,0,4.664084539,-74.05421619
2013-05-09,8:29:11,0,4.663938442,-74.05426615
2013-05-09,8:29:16,7,4.663801063,-74.05436388
2013-05-09,8:29:21,0,4.663668796,-74.05443982
2013-05-09,8:29:26,6,4.663546253,-74.05451878
2013-05-09,8:29:31,0,4.663395798,-74.05462313
2013-05-09,8:29:36,0,4.663264034,-74.05470268
2013-05-09,8:29:41,0,4.663165547,-74.05474216
2013-05-09,8:29:46,79,4.66308265,-74.05480812
2013-05-09,8:29:51,265,4.663013164,-74.05489949
2013-05-09,8:29:52,221,4.662969997,-74.05492983
2013-05-09,8:29:53,160,4.662918784,-74.05497442
2013-05-09,8:29:54,58,4.662883831,-74.0549994
2013-05-09,8:29:55,9,4.662853656,-74.05500325
