area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;90150;005104;030;03;1;1;1;3;2;2;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;2;1;2613;1311,04431966991;090150005104;09015000510403003;090150005104030031;202207
1;90150;005104;030;04;1;3;1;3;2;2;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;1;1;1;2;2613;1311,04431966991;090150005104;09015000510403004;090150005104030041;202207
1;90150;005104;030;05;1;1;4;3;1;2;1;1;1;1;0;0;2;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;1;4;1;4;1;1;1;2613;1311,04431966991;090150005104;09015000510403005;090150005104030051;202207
1;90150;005104;030;06;1;1;1;3;2;2;1;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;2;2613;1311,04431966991;090150005104;09015000510403006;090150005104030061;202207
1;90150;005104;030;07;1;1;1;3;2;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;1;1;2; ;2; ;2; ;1;20;2; ;2; ;1;1;2; ;2; ;1;1;1;1;1;1;1;2613;1311,04431966991;090150005104;09015000510403007;090150005104030071;202207
1;90150;006601;015;01;1;1;1;3;3;4;2;1;2;2;1;0;1;1;5;2; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2;2612;1731,21972006309;090150006601;09015000660101501;090150006601015011;202207
1;90150;006601;015;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2612;1731,21972006309;090150006601;09015000660101502;090150006601015021;202207
1;90150;006601;015;03;1;1;1;3;3;4;3;1;3;1;0;0;2;4;1; ; ;1; ; ;1;1;1;2;4;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;1;1;2;2612;1731,21972006309;090150006601;09015000660101503;090150006601015031;202207
1;90150;006601;015;04;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;230;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;5;1;5;1;1;1;2612;1731,21972006309;090150006601;09015000660101504;090150006601015041;202207
1;90150;006601;015;05;1;1;1;3;3;4;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;1;2; ;2;2612;1731,21972006309;090150006601;09015000660101505;090150006601015051;202207
1;90150;006601;015;06;1;1;1;3;2;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;130; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;4;1;3;1;2;1;2612;1731,21972006309;090150006601;09015000660101506;090150006601015061;202207
1;90150;006601;015;07;1;1;2;3;1;4;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;1;2; ;2;2612;1731,21972006309;090150006601;09015000660101507;090150006601015071;202207
1;90150;010702;015;01;1;1;1;3;2;4;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2612;792,01979800518;090150010702;09015001070201501;090150010702015011;202207
