FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-06-92,120.82,79.02,109.34,193.70,180.30,27.69,0.00,0.31,1.12
01-07-92,59.04,53.84,58.80,111.80,179.60,27.16,-0.91,-0.61,1.11
01-08-92,74.79,36.55,39.60,111.30,65.20,26.83,-1.31,-0.62,-0.91
01-09-92,45.18,37.65,105.34,92.50,87.20,26.90,0.00,-0.83,-0.52
01-10-92,42.68,27.64,106.38,84.20,38.70,27.20,0.00,-0.92,-1.37
01-11-92,62.66,33.34,109.00,208.80,64.60,27.44,0.00,0.47,-0.92
01-12-92,69.93,33.15,89.30,162.60,85.80,27.45,-0.26,-0.04,-0.54
01-01-93,51.97,36.63,130.90,200.60,44.40,27.54,0.61,0.38,-1.27
01-02-93,63.71,48.91,156.70,169.50,119.90,27.52,1.16,0.03,0.06
01-03-93,102.23,98.79,199.20,384.10,191.40,27.67,2.06,2.43,1.32
01-04-93,93.82,67.67,149.20,375.90,134.50,28.28,1.00,2.34,0.31
01-05-93,51.86,49.11,86.50,216.60,91.30,28.38,-0.32,0.56,-0.45
01-06-93,135.74,57.83,83.20,290.90,132.20,27.85,-0.39,1.39,0.27
01-07-93,104.69,67.18,99.50,217.60,204.80,27.26,-0.05,0.57,1.55
01-08-93,86.00,35.68,54.00,217.60,93.50,26.97,-1.01,0.57,-0.41
01-09-93,74.20,38.39,66.30,182.20,58.20,26.99,-0.75,0.18,-1.03
01-10-93,78.33,42.41,73.90,218.20,93.70,27.15,-0.59,0.58,-0.40
01-11-93,58.03,42.21,74.10,84.50,74.90,27.35,-0.58,-0.91,-0.74
01-12-93,98.45,49.12,122.50,27.10,98.50,26.98,0.44,-1.56,-0.32
01-01-94,70.14,38.43,98.20,88.80,46.60,26.85,-0.08,-0.87,-1.23
01-02-94,90.09,41.89,112.60,120.60,106.30,26.89,0.23,-0.51,-0.18
01-03-94,116.10,48.72,175.50,166.10,139.10,27.34,1.56,0.00,0.39
01-04-94,117.28,46.74,164.90,263.70,163.50,27.25,1.33,1.09,0.82
01-05-94,157.58,86.68,120.10,372.80,229.90,27.20,0.39,2.31,1.99
01-06-94,142.51,79.19,122.10,361.20,181.60,26.38,0.43,2.18,1.14
01-07-94,85.73,102.67,120.60,346.50,245.20,25.74,0.40,2.01,2.26
01-08-94,91.96,63.03,143.20,166.24,117.20,25.21,0.87,0.00,0.01
01-09-94,61.49,42.92,96.50,299.80,85.40,25.38,-0.11,1.49,-0.55
01-10-94,49.92,30.68,38.20,199.40,138.80,25.41,-1.34,0.37,0.39
01-11-94,68.90,42.20,110.00,224.90,64.20,25.65,0.17,0.65,-0.92
01-12-94,95.61,43.97,96.20,220.30,122.36,25.65,-0.12,0.60,0.00
01-01-95,65.62,33.20,48.70,169.80,36.40,25.68,-1.12,0.04,-1.41
01-02-95,48.49,34.54,78.70,221.20,41.70,25.99,-0.49,0.61,-1.32
01-03-95,57.33,37.23,112.90,174.00,42.90,26.25,0.23,0.09,-1.30
01-04-95,45.01,38.44,113.70,172.10,141.70,26.63,0.25,0.06,0.44
01-05-95,86.04,51.69,106.45,401.60,152.50,26.73,0.00,2.63,0.63
01-06-95,66.60,51.32,101.75,290.80,126.40,26.33,0.00,1.39,0.17
01-07-95,80.38,56.25,102.05,246.70,142.60,25.94,0.00,0.90,0.46
01-08-95,36.27,37.28,21.90,91.60,44.40,25.73,-1.69,-0.84,-1.27
01-09-95,37.92,44.12,59.50,140.80,67.50,25.72,-0.89,-0.29,-0.87
01-10-95,30.96,48.52,138.30,116.30,40.70,25.98,0.77,-0.56,-1.34
01-11-95,44.64,54.88,155.10,177.90,92.50,26.25,1.12,0.13,-0.43
01-12-95,38.75,56.23,179.70,150.80,113.90,26.35,1.64,-0.17,-0.05
01-01-96,35.00,53.28,120.40,118.10,103.10,26.50,0.39,-0.54,-0.24
01-02-96,59.60,67.12,141.20,135.20,183.90,26.56,0.83,-0.35,1.18
01-03-96,53.79,61.86,190.50,74.60,95.50,27.11,1.87,-1.03,-0.37
01-04-96,58.87,68.94,250.80,81.10,125.60,27.79,3.14,-0.95,0.16
01-05-96,66.93,70.25,168.10,91.90,87.50,28.33,1.40,-0.83,-0.51
01-06-96,64.94,55.47,73.60,46.20,48.20,27.67,-0.59,-1.34,-1.21
01-07-96,98.77,101.78,162.00,175.48,203.80,27.16,1.27,0.11,1.53
01-08-96,73.86,86.03,68.40,134.01,117.20,27.16,-0.70,-0.31,0.01
01-09-96,58.92,86.87,92.70,133.73,101.50,27.00,-0.19,-0.32,-0.27
