Date,Energie cumule (kWh),Energie par periode (kWh),Puissance moyenne (kW)
2022-12-21 07:40:00,309256,2,3
2022-12-21 08:20:00,309257,1,1.5
2022-12-21 09:00:00,309258,1,1.5
2022-12-21 09:40:00,309260,2,3
2022-12-21 10:20:00,309261,1,1.5
2022-12-21 11:00:00,309262,1,1.5
2022-12-21 11:40:00,309264,2,3
2022-12-21 12:20:00,309265,1,1.5
2022-12-21 13:00:00,309266,1,1.5
2022-12-21 13:40:00,309268,2,3
2022-12-21 14:20:00,309270,2,3
2022-12-21 15:00:00,309271,1,1.5
2022-12-21 15:40:00,309272,1,1.5
2022-12-21 16:20:00,309274,2,3
2022-12-21 17:00:00,309275,1,1.5
2022-12-21 17:40:00,309277,2,3
2022-12-21 18:20:00,309279,2,3
2022-12-21 19:00:00,309280,1,1.5
2022-12-21 19:40:00,309281,1,1.5
2022-12-21 20:20:00,309283,2,3
2022-12-21 21:00:00,309284,1,1.5
2022-12-21 21:40:00,309286,2,3
2022-12-21 22:20:00,309287,1,1.5
2022-12-21 23:00:00,309288,1,1.5
2022-12-21 23:40:00,309290,2,3
2022-12-22 00:20:00,309293,3,4.5
2022-12-22 01:00:00,309297,4,6
2022-12-22 01:40:00,309301,4,6
2022-12-22 02:20:00,309303,2,3
2022-12-22 03:00:00,309305,2,3
2022-12-22 03:40:00,309308,3,4.5
2022-12-22 04:20:00,309311,3,4.5
2022-12-22 05:00:00,309313,2,3
2022-12-22 05:40:00,309315,2,3
2022-12-22 06:20:00,309317,2,3
2022-12-22 07:00:00,309318,1,1.5
2022-12-22 07:40:00,309320,2,3
2022-12-22 08:20:00,309321,1,1.5
2022-12-22 09:00:00,309322,1,1.5
2022-12-22 09:40:00,309324,2,3
2022-12-22 10:20:00,309325,1,1.5
2022-12-22 11:00:00,309326,1,1.5
2022-12-22 11:40:00,309328,2,3
2022-12-22 12:20:00,309330,2,3
2022-12-22 13:00:00,309331,1,1.5
2022-12-22 13:40:00,309332,1,1.5
2022-12-22 14:20:00,309334,2,3
2022-12-22 15:00:00,309335,1,1.5
2022-12-22 15:40:00,309336,1,1.5
2022-12-22 16:20:00,309338,2,3
2022-12-22 17:00:00,309339,1,1.5
2022-12-22 17:40:00,309340,1,1.5
2022-12-22 18:20:00,309342,2,3
2022-12-22 19:00:00,309343,1,1.5
2022-12-22 19:40:00,309344,1,1.5
2022-12-22 20:20:00,309346,2,3
2022-12-22 21:00:00,309347,1,1.5
2022-12-22 21:40:00,309350,3,4.5
2022-12-22 22:20:00,309352,2,3
2022-12-22 23:00:00,309353,1,1.5
2022-12-22 23:40:00,309354,1,1.5
2022-12-23 00:20:00,309358,4,6
2022-12-23 01:00:00,309362,4,6
2022-12-23 01:40:00,309365,3,4.5
2022-12-23 02:20:00,309367,2,3
2022-12-23 03:00:00,309368,1,1.5
2022-12-23 03:40:00,309370,2,3
2022-12-23 04:20:00,309372,2,3
2022-12-23 05:00:00,309374,2,3
2022-12-23 05:40:00,309376,2,3
2022-12-23 06:20:00,309377,1,1.5
2022-12-23 07:00:00,309379,2,3
2022-12-23 07:40:00,309380,1,1.5
2022-12-23 08:20:00,309382,2,3
2022-12-23 09:00:00,309383,1,1.5
2022-12-23 09:40:00,309385,2,3
2022-12-23 10:20:00,309387,2,3
2022-12-23 11:00:00,309388,1,1.5
2022-12-23 11:40:00,309389,1,1.5
2022-12-23 12:20:00,309391,2,3
2022-12-23 13:00:00,309392,1,1.5
2022-12-23 13:40:00,309394,2,3
2022-12-23 14:20:00,309396,2,3
2022-12-23 15:00:00,309397,1,1.5
2022-12-23 15:40:00,309398,1,1.5
2022-12-23 16:20:00,309400,2,3
2022-12-23 17:00:00,309401,1,1.5
2022-12-23 17:40:00,309403,2,3
2022-12-23 18:20:00,309404,1,1.5
2022-12-23 19:00:00,309405,1,1.5
2022-12-23 19:40:00,309407,2,3
2022-12-23 20:20:00,309409,2,3
2022-12-23 21:00:00,309411,2,3
2022-12-23 21:40:00,309413,2,3
2022-12-23 22:20:00,309415,2,3
2022-12-23 23:00:00,309416,1,1.5
2022-12-23 23:40:00,309418,2,3
2022-12-24 00:20:00,309420,2,3
2022-12-24 01:00:00,309423,3,4.5
2022-12-24 01:40:00,309426,3,4.5
2022-12-24 02:20:00,309427,1,1.5
2022-12-24 03:00:00,309428,1,1.5
2022-12-24 03:40:00,309430,2,3
2022-12-24 04:20:00,309432,2,3
2022-12-24 05:00:00,309433,1,1.5
2022-12-24 05:40:00,309435,2,3
2022-12-24 06:20:00,309437,2,3
2022-12-24 07:00:00,309438,1,1.5
2022-12-24 07:40:00,309440,2,3
2022-12-24 08:20:00,309441,1,1.5
2022-12-24 09:00:00,309442,1,1.5
2022-12-24 09:40:00,309444,2,3
2022-12-24 10:20:00,309446,2,3
2022-12-24 11:00:00,309447,1,1.5
2022-12-24 11:40:00,309449,2,3
2022-12-24 12:20:00,309450,1,1.5
2022-12-24 13:00:00,309451,1,1.5
2022-12-24 13:40:00,309453,2,3
2022-12-24 14:20:00,309455,2,3
2022-12-24 15:00:00,309456,1,1.5
2022-12-24 15:40:00,309457,1,1.5
2022-12-24 16:20:00,309459,2,3
2022-12-24 17:00:00,309460,1,1.5
2022-12-24 17:40:00,309461,1,1.5
2022-12-24 18:20:00,309463,2,3
2022-12-24 19:00:00,309464,1,1.5
2022-12-24 19:40:00,309465,1,1.5
2022-12-24 20:20:00,309467,2,3
2022-12-24 21:00:00,309468,1,1.5
2022-12-24 21:40:00,309471,3,4.5
2022-12-24 22:20:00,309473,2,3
2022-12-24 23:00:00,309474,1,1.5
2022-12-24 23:40:00,309475,1,1.5
2022-12-25 00:20:00,309477,2,3
2022-12-25 01:00:00,309480,3,4.5
2022-12-25 01:40:00,309483,3,4.5
2022-12-25 02:20:00,309485,2,3
2022-12-25 03:00:00,309486,1,1.5
2022-12-25 03:40:00,309488,2,3
2022-12-25 04:20:00,309489,1,1.5
2022-12-25 05:00:00,309490,1,1.5
2022-12-25 05:40:00,309492,2,3
2022-12-25 06:20:00,309493,1,1.5
2022-12-25 07:00:00,309494,1,1.5
2022-12-25 07:40:00,309496,2,3
2022-12-25 08:20:00,309497,1,1.5
2022-12-25 09:00:00,309498,1,1.5
2022-12-25 09:40:00,309499,1,1.5
2022-12-25 10:20:00,309500,1,1.5
2022-12-25 11:00:00,309501,1,1.5
2022-12-25 11:40:00,309503,2,3
2022-12-25 12:20:00,309504,1,1.5
2022-12-25 13:00:00,309505,1,1.5
2022-12-25 13:40:00,309506,1,1.5
2022-12-25 14:20:00,309508,2,3
2022-12-25 15:00:00,309509,1,1.5
2022-12-25 15:40:00,309510,1,1.5
2022-12-25 16:20:00,309511,1,1.5
2022-12-25 17:00:00,309512,1,1.5
2022-12-25 17:40:00,309514,2,3
2022-12-25 18:20:00,309515,1,1.5
2022-12-25 19:00:00,309516,1,1.5
2022-12-25 19:40:00,309517,1,1.5
2022-12-25 20:20:00,309519,2,3
2022-12-25 21:00:00,309520,1,1.5
2022-12-25 21:40:00,309522,2,3
2022-12-25 22:20:00,309524,2,3
2022-12-25 23:00:00,309525,1,1.5
2022-12-25 23:40:00,309527,2,3
2022-12-26 00:20:00,309530,3,4.5
2022-12-26 01:00:00,309534,4,6
2022-12-26 01:40:00,309538,4,6
2022-12-26 02:20:00,309541,3,4.5
2022-12-26 03:00:00,309542,1,1.5
2022-12-26 03:40:00,309543,1,1.5
2022-12-26 04:20:00,309545,2,3
2022-12-26 05:00:00,309546,1,1.5
2022-12-26 05:40:00,309548,2,3
2022-12-26 06:20:00,309550,2,3
2022-12-26 07:00:00,309551,1,1.5
2022-12-26 07:40:00,309553,2,3
2022-12-26 08:20:00,309554,1,1.5
2022-12-26 09:00:00,309555,1,1.5
2022-12-26 09:40:00,309556,1,1.5
2022-12-26 10:20:00,309557,1,1.5
2022-12-26 11:00:00,309558,1,1.5
2022-12-26 11:40:00,309560,2,3
2022-12-26 12:20:00,309561,1,1.5
2022-12-26 13:00:00,309562,1,1.5
2022-12-26 13:40:00,309563,1,1.5
2022-12-26 14:20:00,309564,1,1.5
2022-12-26 15:00:00,309565,1,1.5
2022-12-26 15:40:00,309567,2,3
2022-12-26 16:20:00,309568,1,1.5
2022-12-26 17:00:00,309569,1,1.5
2022-12-26 17:40:00,309570,1,1.5
2022-12-26 18:20:00,309572,2,3
2022-12-26 19:00:00,309573,1,1.5
2022-12-26 19:40:00,309574,1,1.5
2022-12-26 20:20:00,309575,1,1.5
2022-12-26 21:00:00,309577,2,3
2022-12-26 21:40:00,309579,2,3
2022-12-26 22:20:00,309581,2,3
2022-12-26 23:00:00,309582,1,1.5
2022-12-26 23:40:00,309583,1,1.5
