 año,id_diee,ciiu_seccion,ciiu_division,ciiu_clase,sector_economico,tam_empresa,provincia,tic1_inversion,tic2_valor_inversion,tic31_computadoras,tic32_pda,tic33_smartphone,tic34_notebooks,tic35_tablets,tic36_otros,tic4_personal_total_comp,tic41_personal_comp_m,tic42_personal_comp_h,tic5_conexion_internet,tic6_personal_total_int,tic61_personal_int_m,tic62_personal_int_h,tic7a_bandaanchafija,tic7b_bandaanchamovil,tic7c_otros_1412,tic8_web,tic9_transacciones,tic91_total_compras,tic92_total_ventas,tic10_interaccion_adm_pub,tic101_obtener_info_publicas,tic102_impreso_publicos,tic103_devolver_impresos,tic104_gestion_electronica,tic105_declaracion_impuestos,tic106_tramites_iess,tic107_portal_compras_publicas,tic111_gestion_cliente,tic112_control_pedidos,tic113_gestion_inventarios,tic114_gestion_finanzas,tic115_gestion_rrhh,tic116_soporte_ventas,tic117_id,tic118_gestion_conocimiento,tic121_telefonos_celulares,tic122_correo_electronico,tic123_redes_sociales,tic124_mensajeria_especializada,tic125_fax,tic126_call_center,tic127_otros_1434,tic128_ninguno,tic131_sistemas_operativos,tic132_navegador_internet,tic133_aplicaciones_ofimaticas,tic134_erp_crm,tic135_seguridad,tic14_especialistas_tic,tic141_especialistas_tic_m,tic142_especialistas_tic_h,tic151_personal_conoc_tic,tic151_personal_conoc_tic_m,tic152_personal_conoc_tic_h,tic16_intranet,tic17_firma_digital,k
2015,13632488062,C,C16,C1623,1,4,106,2,0,6,0,0,0,0,0,3,1,2,1,3,1,2,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,2,2,1,2,2,2,2,1,1,2,2,2, , ,3,1,2,2,2,1
2015,13635169065,C,C29,C2920,1,4,106,1,7611,14,0,0,0,0,0,14,8,6,1,14,8,6,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13637168066,C,C10,C1071,1,2,106,2,0,4,0,0,0,0,0,2,1,1,1,2,1,1,1,2,2,2,2, , ,1,1,1,2,2,1,1,1,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13639111061,C,C14,C1410,1,1,118,2,0,2,0,0,0,0,0,2,1,1,1,1,0,1,1,2,2,2,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,1,0,1,2,2,1
2015,13642049067,C,C23,C2395,1,5,106,2,0,38,0,0,0,0,0,37,11,26,1,37,11,26,1,2,2,1,1,75,0,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2, , ,37,11,26,2,1,1
2015,13642052068,C,C17,C1709,1,4,106,2,0,10,0,0,0,0,0,10,7,3,1,10,7,3,1,2,2,1,2, , ,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,0,1,10,7,3,2,2,1
2015,13642070066,C,C10,C1010,1,4,106,2,0,6,0,0,0,0,0,4,3,1,1,4,3,1,1,2,2,1,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,0,1,1,0,2,1,1
2015,13642071062,G,G47,G4711,3,2,106,1,1330,13,0,3,1,0,0,14,8,6,1,7,6,1,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,0,14,8,6,1,2,1
2015,13642085063,N,N82,N8292,4,4,106,2,0,6,0,0,0,0,0,6,3,3,1,6,3,3,1,2,2,2,2, , ,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,0,1,1,0,1,2,2,1
2015,13642091063,Q,Q86,Q8610,4,3,106,1,5683,16,0,0,0,0,0,30,16,14,1,30,16,14,1,2,2,1,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13642141061,N,N80,N8010,4,5,106,1,15429,15,0,0,0,0,0,15,10,5,1,15,10,5,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,1,1
2015,13642195063,R,R93,R9311,4,3,106,2,0,16,0,0,0,0,0,16,8,8,1,16,8,8,1,2,2,1,2, , ,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13642210062,J,J58,J5813,4,2,106,2,0,62,0,0,0,12,0,24,11,13,1,24,11,13,1,2,2,1,2, , ,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,0,1,8,3,5,2,2,1
2015,13642256062,G,G47,G4759,3,3,106,2,0,85,4,0,5,0,0,50,22,28,1,50,22,28,1,2,2,1,2, , ,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2, , ,1,1,0,2,2,1
2015,13642258065,C,C10,C1071,1,5,106,1,7086,9,0,3,0,0,0,9,2,7,1,9,2,7,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2, , ,9,2,7,2,1,1
2015,13642278066,I,I56,I5610,4,1,106,2,0,1,0,0,0,0,0,2,0,2,1,2,0,2,1,2,2,2,2, , ,2, , , , , , , ,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13642289068,C,C23,C2395,1,2,106,2,0,3,0,0,0,0,0,3,1,2,2, , , , , , , , , , ,0,2,2,2,2,2,2,2, , , , , , , , ,1, , ,1,1,1,2,2,2,2,2,2,2,2, , ,0,0,0,2,2,1
2015,13642310067,I,I55,I5510,4,2,106,2,0,4,0,0,0,0,0,3,1,2,1,3,1,2,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2, , ,2,1,1,2,2,1
2015,13643223079,C,C18,C1811,1,2,207,2,0,3,0,0,0,0,0,3,2,1,1,3,2,1,1,2,2,2,2, , ,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2, , ,4,3,1,2,2,1
2015,13644107072,J,J60,J6020,4,4,207,1,6117,31,0,0,0,0,26,22,19,3,1,9,6,3,1,2,2,2,2, , ,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,1,2,1
2015,13644559071,G,G46,G4620,3,4,207,2,0,14,0,0,0,0,0,12,8,4,1,12,8,4,1,2,2,1,2, , ,1,1,1,2,1,1,1,2,2,2,1,1,2,2,3,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2, , ,1,0,1,2,1,1
2015,13644710071,C,C10,C1010,1,5,101,1,5318,12,0,0,0,0,0,12,8,4,1,6,2,4,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2, , ,2,1,1,2,2,1
2015,13645262071,G,G46,G4669,3,3,117,1,3441,11,0,0,0,0,0,11,7,4,1,11,7,4,1,2,2,1,1,70,2,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2, , ,11,7,4,1,2,1
2015,13646103074,Q,Q86,Q8620,4,2,209,2,0,5,0,0,0,0,0,2,0,2,1,2,0,2,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13647346078,G,G47,G4752,3,2,207,2,0,10,0,0,0,0,0,10,8,2,1,10,8,2,1,2,2,2,1,5,5,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2, , ,4,4,0,2,2,1
2015,13648132071,G,G47,G4773,3,4,207,1,10843,15,0,0,0,0,0,15,9,6,1,11,9,2,1,2,2,2,2, , ,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,1,1
2015,13652618078,I,I55,I5510,4,1,322,2,0,2,0,0,0,0,0,0,0,0,2, , , , , , , , , , ,0,2,2,1,1,1,1,2, , , , , , , , ,1, , ,2,2,2,2,2,2,2,1,2,2,2, , ,0,0,0,2,2,1
2015,13653971073,G,G47,G4752,3,2,207,2,0,10,0,0,0,0,0,5,2,3,1,5,2,3,1,2,2,2,1,30,0,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2, , ,2,2,0,2,2,1
2015,13654010077,G,G47,G4711,3,2,207,2,0,9,0,0,2,0,0,11,6,5,1,5,2,3,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2, , ,5,2,3,1,1,1
2015,13655679078,G,G47,G4730,3,3,207,1,7342,110,0,0,0,0,0,97,37,60,1,97,37,60,1,2,2,2,2, , ,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2, , ,3,2,1,1,1,1
2015,13655684071,N,N80,N8010,4,5,207,1,10036,24,0,0,1,0,0,21,15,6,1,21,15,6,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,0,3,3,0,3,1,1,1
2015,13655685078,I,I55,I5510,4,4,207,1,1436,16,0,0,1,0,0,16,10,6,1,16,10,6,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2, , ,4,0,4,1,1,1
2015,13655702070,C,C10,C1020,1,5,207,1,3743,18,0,0,0,0,0,18,8,10,1,18,8,10,1,2,2,1,2, , ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,1,1
2015,13655703076,C,C10,C1020,1,5,207,1,2615,3,0,0,0,0,0,12,9,3,1,12,9,3,1,2,2,1,2, , ,2, , , , , , , ,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13655714078,C,C11,C1104,1,4,207,1,2364,18,0,0,0,0,0,18,10,8,1,18,10,8,1,2,2,1,2, , ,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,0,1,0,1,2,2,1
2015,13655728079,C,C10,C1030,1,5,207,1,1950,25,0,0,5,6,0,30,15,15,1,30,15,15,1,2,2,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,1,2,1,1,1
2015,13655731070,G,G46,G4630,3,3,207,2,0,15,10,0,0,0,0,15,12,3,1,15,12,3,1,2,2,1,2, , ,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,1,1
2015,13655736071,C,C22,C2220,1,4,207,1,3727,13,0,0,3,0,0,12,4,8,1,12,4,8,1,2,2,1,1,5,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2, , ,1,0,1,2,1,1
2015,13655771071,G,G45,G4510,3,3,207,2,0,26,0,0,0,0,0,26,17,9,1,26,17,9,1,2,2,2,2, , ,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,0,1,1,0,1,2,1,1
2015,13655772078,G,G47,G4730,3,2,207,2,0,5,0,0,0,0,0,4,2,2,1,4,2,2,1,2,2,2,2, , ,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,1,1
